sample_id,longitude,latitude,year_of_sampling
FMS24948v2,14.42,61.48,2014
GF4S03919b,101.016,24.533,2015
FMS23141v2,-120.42,50.85,2010
GF4S21152b,25.50775334,58.44381338,2016
N0640,117.909,29.125,2011
GF4T474otu,-50.4,-25.47,2018
GF4S03863b,100.167,27.167,2015
FMS17687v2,92.61666667,34.36666667,2011
GF4S19944b,27.29928,58.28122,2011
GF4S20855b,25.656038,58.177845,2016
GF4S19955b,27.32669,58.29013,2011
GF4S03190b,100.167,27.167,2015
FMS17336v2,9.116646,35.160036,2010
FMS16BI1883v2,146.6442606,-43.08869766,2015
GF4S19315b,18.77,64.50849168,2016
GF3S05090a,118.5,32.05,2017
GF4S19690b,26.41898,58.12368,2017
GF4S02007b,18.848083,68.330444,2008
GF3S04488a,29.893027,62.63427439,2019
GF4S21445b,26.4768,57.6898,2013
S000546,116.27998,-34.36291,2011
N3720,-123.2666667,54.3333333,2014
GF3S02317a,121.8086,50.9869,2017
GF3S01324a,24.71194,58.04579,2011
GF4T1354otu,29.88,36.58,2009
S000825,26.60463,58.35203,2013
GF4S03974b,101.016,24.533,2015
GF3S05266a,-61.758033,47.4738,2011
S000967,8.46667,46.63333,
S003254,-82.47547,29.71003,2012
GF4S13373b,4.4389,50.7657,2019
N1553,8.182877548,55.77354752,2014
GF4S11472b,-117.1704,61.7777,2015
GF4S20650b,26.635311,57.918843,2015
FMS17249v2,116.786556,48.609778,2010
FMS24680v2,-73.3378848,42.4750834,2013
GF4S21283b,25.9695,58.6599,2020
GF4S12601b,126.7282834,33.4780278,2015
GF4S20055b,22.2487,58.3535,2014
N0843,117.91,29.127,2011
FMS23211v2,-120.42,50.85,2010
N1456,9.879929238,57.51774803,2014
GF4S20536b,22.800584,58.993798,2015
GF3S05249a,-61.761492,47.446546,2011
N3641,-123.2666667,54.3333333,2015
GF4S19678b,26.80318,58.18892,2016
FMS24660v2,-73.9559721,41.3914827,2013
GF3S02177a,108.45,33.43333333,2014
GF4S02815b,101.574,21.612,2015
GF4S03456b,100.167,27.167,2015
GF4S21647b,22.8645,58.97688,2015
GF3S03539a,-83.5077,35.6967,2017
GF4S16769b,21.31583,69.51653,2013
GF4T1388otu,14.79,-22.69,2014
FMS23311v2,-122.61,54.35,2008
S008909,17.84363,65.946791,2009
N3550,110.21,31.29,2011
GF4S20703b,26.144752,58.703219,2015
FMS16BI1353v2,138.7817383,-34.615925,2016
S008680,17.714042,66.04005,2009
FMS08076v3a,138.7976944,35.9149167,2017
GF4S19800b,26.560474,58.420407,2017
GF4S19720b,26.281285,58.745646,2017
GF4S03972b,101.016,24.533,2015
N3611,-123.2666667,54.3333333,2015
GF4S21943b,26.932778,58.329722,2014
GF4S03569b,101.574,21.612,2015
GF4S21133b,25.27921329,59.47013283,2016
GF3S02298a,121.1959,50.9034,2017
S008821,17.715826,66.140629,2009
N1014,-83.96,35.84,2014
FMS23383v2,-120.35,50.88,2010
S001605,17.49111,60.39944,2008
GF4S03312b,101.574,21.612,2015
GF4S17794b,-83.433849,35.047616,2013
GF4T20otu,-69.89,-4,2012
