sample_id,longitude,latitude,year_of_sampling
S4505,-116.921555,53.33712817,2016
S3794,79.22777778,29.45638889,2013
S2127,-87.3484,20.443,2013
S5132,9.460072222,48.4587139,2011
S1208,-72.88111111,-49.37611111,2013
S1906,20.268492,60.140664,2015
S3674,4.960782,50.861122,2018
S6284,-118.762735,54.51051497,2016
S1319,38.27833333,-5.328055556,2016
S6608,27.2624,58.2986,2009
S2446,27.2624,58.2986,2009
S6982,-119.097777,56.26112706,2016
S4112,-155.3261611,19.8219194,2017
S5151,34.41057,-18.884006,2014
S7146,-119.099106,56.24936834,2016
S5618,-79.8434,9.110057,2012
S5836,12,57.66027778,2014
S5772,-110.7855556,32.44027778,2015
S2203,-113.35,48.4666667,NA_
S3079,128.4313889,42.03111111,2012
S1548,108.066667,34.283333,2016
S6787,-155.3046194,19.8333267,2017
S1734,111.84103,32.55538,2015
S1762,117.71903,36.94669,2015
S5102,19.539225,60.218292,2015
S2880,20.268494,60.140669,2015
S2591,-113.35,48.4666667,NA_
S3259,-107.6833333,50.3,2011
S4560,111.0386111,29.6544444,2012
S1924,83.13833333,54.81472222,2017
S2445,27.2624,58.2986,2009
S2498,108.066667,34.283333,2016
S6385,-119.099106,56.24936834,2016
S1448,112.53,23.17,2015
S7153,-119.099106,56.24936834,2016
S3568,106.2008333,24.33055556,2018
S884,-5.860222222,6.135108333,2012
S5708,-155.3102889,19.8328028,2017
S2206,9.460072222,48.4587139,2011
S5133,9.460072222,48.4587139,2011
S4286,-73.37,45.72,2011
S6231,34.45741,-18.934019,2014
S3791,120.8445,44.5567,2010
S3397,119.5609,42.6067,2010
S2184,118.2761417,32.2758433,2015
S1472,119.99864,36.62681,2015
S6646,-155.3046194,19.8333267,2017
S5429,-117.327002,53.41285736,2016
S5184,-155.3102889,19.8328028,2017
S5501,9.460072222,48.4587139,2011
S3075,112.9956,40.9957,2010
S4373,-155.3159722,19.8209611,2017
S6481,-119.69187,54.81258,2016
S2960,4.936586,50.849842,2018
S4143,-155.3263889,19.82154722,2017
S5488,-113.35,48.4666667,NA_
S1342,112.53,23.17,2015
S4072,34.183483,-19.01925,2014
S4415,166.3433333,-22.06194444,2014
S1007,115.72,29.29,2018
S3325,9.460072222,48.4587139,2011
S4097,-116.966739,53.32204872,2016
S4162,-155.3046194,19.8330333,2017
S3941,-155.3046194,19.8330333,2017
S3715,16.53194444,43.14444444,2015
S5750,-155.3046194,19.8330333,2017
S6604,-119.099106,56.24936834,2016
S2782,126.35,45.63333333,2017
S6922,-107.6833333,50.3,2011
S2111,113.1677,39.827,2010
S1130,126.0333333,44.86666667,2017
S2033,118.0065,43.6487,2010
S7680,-2.833333,37.4,2011
S2098,109.7564,39.496,2010
S6024,-155.3010472,19.8330056,2017
S2834,125.6666667,44,2017
S7417,-2.833333,37.4,2011
S7258,27.2624,58.2986,2009
S7336,-2.833333,37.4,2011
S4485,-116.966739,53.32204872,2016
S3361,34.45741,-18.934019,2014
S2953,9.460072222,48.4587139,2011
S3904,34.375167,-18.9413833,2014
S5818,9.460072222,48.4587139,2011
S1397,3.01889,39.83495,2018
S6723,-79.07083333,36.03583333,2012
S2487,113.39588,34.81651,2015
S5393,-116.921555,53.33712817,2016
S5899,-72.1875,42.4836111,2016
S3083,107.8088,37.5287,2010
S1149,-87.2042,21.2103,2013
S6576,-107.6833333,50.3,2011
S3645,19.540508,60.218036,2015
S5736,-20.63388889,64.22583333,2015
S7002,-2.833333,37.4,2011
S2579,111.0369444,29.6566667,2012
S7692,-117.33073,53.8039,2016
S5782,9.460072222,48.4587139,2011
S6632,-116.593305,54.20218352,2016
S3367,34.183483,-19.01925,2014
S4500,-116.593305,54.20218352,2016
S5569,-107.6833333,50.3,2011
S6626,-155.3070028,19.8329472,2017
S1920,-113.35,48.4666667,NA_
S4875,-155.3176528,19.8207917,2017
